HTMLvideotutorial-51-htmlselecttagandoptiontag	70J7RvN_aYY
HTMLvideotutorial-52-htmltextareatag	C4LYuZSiiws
HTMLvideotutorial-53-htmlinputtagandtype="submit"	GMXCjDrjz2A
HTMLvideotutorial-54-htmlinputtagandtype="reset"	QJIlaYemK_4
HTMLvideotutorial-55-typesofbuttoninhtml	iZG2fho6v2Y
HTMLvideotutorial-56-htmlrequiredattribute	W_5AvbBkx78
HTMLvideotutorial-57-htmltabletag,htmltrtagandhtmltdtag	Kzi6ZdUUtgY
HTMLvideotutorial-58-htmlthtag	fghXCQ6KEg8
HTMLvideotutorial-59-htmltablebgcolorattribute	Ze7Ve2bRf5Y
HTMLvideotutorial-60-htmltablewidthandhtmltableheightattribute	gjDibAhaiwc
HTMLvideotutorial-61-htmlalignandhtmlvalignattribute	B_OFz9i-RHA
HTMLvideotutorial-62-htmltablerowspanandtablecolspanattribute	Qpx6uquFOms
HTMLvideotutorial-63-CreatingProfileusinghtml-Part1	8Gke1-WeovE
HTMLvideotutorial-64-CreatingProfileusinghtml-Part2	aMAr5YG5VSs
HTMLvideotutorial-65-CreatingProfileusinghtml-Part3	V12D4R6L3TA
HTMLvideotutorial-66-CreatingProfileusinghtml-Part4	d9QcGbjTL6Y
HTMLvideotutorial-67-CreatingProfileusinghtml-Part5	Od8yerastyw
HTMLvideotutorial-69-CreatingProfileusinghtml-Part7	yAIUJIauzXY
HTMLvideotutorial-70-CreatingProfileusinghtml-Part8	_OzmwG_hbUc
HTMLvideotutorial-71-CreatingProfileusinghtml-Part9	deAUxz8RSx8
HTMLvideotutorial-72-CreatingProfileusinghtml-Part10	xnRBrMfGhZw
HTMLvideotutorial-73-htmlframesettagandhtmlframetag-Part1	LkquxqE1Lxg
HTMLvideotutorial-74-htmlframesettag-Part2	MSZqWsfmXAs
HTMLvideotutorial-75-nestingofframesettags	KKG33uOuXDk
HTMLvideotutorial-76-htmliframetag	dhV0DvtKfBc
HTMLvideotutorial-77-iframetagvsobjectembedtags	ZNy2ajRiGXc
HTMLvideotutorial-80-htmlstyletag	3t9aM8tQ3mI
HTMLvideotutorial-81-htmldivtag	YwJgtVjG2pg
HTMLvideotutorial-82-htmlspantagvsdivtag	22laibNbSE8
HTMLvideotutorial-83-Introductiontocssboxmodel	hL93pLKLSLs
HTMLvideotutorial-84-Introductiontocssselectors	N6yqHtTaa58
HTMLvideotutorial-85-htmlcssfloatingimages	P2CGjDt8USE
HTMLvideoturorial-86-cssfloatpropertyindepth-part1	Mml_GM4PVpY
HTMLvideotutorial-87-cssfloatproperty-Part2	OUXjbr04X4U
HTMLvideotutorial-88-layoutdesignusingtablevsdivtag-Part1	BcEEMDCc_SM
HTMLvideotutorial-89-layoutdesignusingtablevsdivtag-Part2	uiD7PaTAwiA
HTMLvideotutorial-90-layoutdesignusingtablevsdivtag-Part3	7w047W61bso
HTMLvideotutorial-91-layoutdesignusingtablevsdivtag-Part4	oe_nGwPk83Q
HTMLvideotutorial-92-layoutdesignusingtablevsdivtag-Part5	XmKz6NWKArs
HTMLvideotutorial-93-layoutdesignusingtablevsdivtag-Part6	hUOoUQ6JF9M
HTMLvideotutorials-94-layoutdesignusingtablevsdivtag-Part7	M5vXLyxC_Y0
HTMLvidotutorial-95-layoutdesignusingtablevsdivtag-Part8	8kh-GCxihTg
HTMLvideotutorial-96-Layoutdesignusingtablevsdivtag-Part9	YqID58e9cUY
HTMLvideotutorial-97-IntroductiontoHTML5	6jvG-GZtiu0
HTMLvideotutorial-98-TypicalstructureofHTML5document	tqsE_P8fB4c
HTMLvideotutorial-99-IntroductiontoHTMLcomments	_QPjxYJKeNc
HTMLvideotutorial-100-HTML5structraltags	MBPcP-IBo5w
HTMLvideotutorial-101-HTML5forms-Part1	FeMNC8-oREg
HTMLvideotutorial-102-HTML5forms-Part2	6gv0nCuwgDs
